"abbreviation"	"machine_readable_name"	"name"	"description"	"group"	"subgroup"	"unit"
"108"	"L-LDL-L"	"L_LDL_L"	"L-LDL-L"	"Total lipids in large LDL"	"Lipoprotein subclasses"	"Large LDL"	"mmol/l"
"109"	"L-LDL-PL"	"L_LDL_PL"	"L-LDL-PL"	"Phospholipids in large LDL"	"Lipoprotein subclasses"	"Large LDL"	"mmol/l"
"110"	"L-LDL-C"	"L_LDL_C"	"L-LDL-C"	"Cholesterol in large LDL"	"Lipoprotein subclasses"	"Large LDL"	"mmol/l"
"111"	"L-LDL-CE"	"L_LDL_CE"	"L-LDL-CE"	"Cholesteryl esters in large LDL"	"Lipoprotein subclasses"	"Large LDL"	"mmol/l"
"112"	"L-LDL-FC"	"L_LDL_FC"	"L-LDL-FC"	"Free cholesterol in large LDL"	"Lipoprotein subclasses"	"Large LDL"	"mmol/l"
"113"	"L-LDL-TG"	"L_LDL_TG"	"L-LDL-TG"	"Triglycerides in large LDL"	"Lipoprotein subclasses"	"Large LDL"	"mmol/l"
"114"	"M-LDL-P"	"M_LDL_P"	"M-LDL-P"	"Concentration of medium LDL particles"	"Lipoprotein subclasses"	"Medium LDL"	"mol/l"
"115"	"M-LDL-L"	"M_LDL_L"	"M-LDL-L"	"Total lipids in medium LDL"	"Lipoprotein subclasses"	"Medium LDL"	"mmol/l"
"116"	"M-LDL-PL"	"M_LDL_PL"	"M-LDL-PL"	"Phospholipids in medium LDL"	"Lipoprotein subclasses"	"Medium LDL"	"mmol/l"
"117"	"M-LDL-C"	"M_LDL_C"	"M-LDL-C"	"Cholesterol in medium LDL"	"Lipoprotein subclasses"	"Medium LDL"	"mmol/l"
"118"	"M-LDL-CE"	"M_LDL_CE"	"M-LDL-CE"	"Cholesteryl esters in medium LDL"	"Lipoprotein subclasses"	"Medium LDL"	"mmol/l"
"119"	"M-LDL-FC"	"M_LDL_FC"	"M-LDL-FC"	"Free cholesterol in medium LDL"	"Lipoprotein subclasses"	"Medium LDL"	"mmol/l"
"120"	"M-LDL-TG"	"M_LDL_TG"	"M-LDL-TG"	"Triglycerides in medium LDL"	"Lipoprotein subclasses"	"Medium LDL"	"mmol/l"
"121"	"S-LDL-P"	"S_LDL_P"	"S-LDL-P"	"Concentration of small LDL particles"	"Lipoprotein subclasses"	"Small LDL"	"mol/l"
"122"	"S-LDL-L"	"S_LDL_L"	"S-LDL-L"	"Total lipids in small LDL"	"Lipoprotein subclasses"	"Small LDL"	"mmol/l"
"123"	"S-LDL-PL"	"S_LDL_PL"	"S-LDL-PL"	"Phospholipids in small LDL"	"Lipoprotein subclasses"	"Small LDL"	"mmol/l"
"124"	"S-LDL-C"	"S_LDL_C"	"S-LDL-C"	"Cholesterol in small LDL"	"Lipoprotein subclasses"	"Small LDL"	"mmol/l"
"125"	"S-LDL-CE"	"S_LDL_CE"	"S-LDL-CE"	"Cholesteryl esters in small LDL"	"Lipoprotein subclasses"	"Small LDL"	"mmol/l"
"126"	"S-LDL-FC"	"S_LDL_FC"	"S-LDL-FC"	"Free cholesterol in small LDL"	"Lipoprotein subclasses"	"Small LDL"	"mmol/l"
"127"	"S-LDL-TG"	"S_LDL_TG"	"S-LDL-TG"	"Triglycerides in small LDL"	"Lipoprotein subclasses"	"Small LDL"	"mmol/l"
"128"	"XL-HDL-P"	"XL_HDL_P"	"XL-HDL-P"	"Concentration of very large HDL particles"	"Lipoprotein subclasses"	"Very large HDL"	"mol/l"
"129"	"XL-HDL-L"	"XL_HDL_L"	"XL-HDL-L"	"Total lipids in very large HDL"	"Lipoprotein subclasses"	"Very large HDL"	"mmol/l"
"130"	"XL-HDL-PL"	"XL_HDL_PL"	"XL-HDL-PL"	"Phospholipids in very large HDL"	"Lipoprotein subclasses"	"Very large HDL"	"mmol/l"
"131"	"XL-HDL-C"	"XL_HDL_C"	"XL-HDL-C"	"Cholesterol in very large HDL"	"Lipoprotein subclasses"	"Very large HDL"	"mmol/l"
"132"	"XL-HDL-CE"	"XL_HDL_CE"	"XL-HDL-CE"	"Cholesteryl esters in very large HDL"	"Lipoprotein subclasses"	"Very large HDL"	"mmol/l"
"133"	"XL-HDL-FC"	"XL_HDL_FC"	"XL-HDL-FC"	"Free cholesterol in very large HDL"	"Lipoprotein subclasses"	"Very large HDL"	"mmol/l"
"134"	"XL-HDL-TG"	"XL_HDL_TG"	"XL-HDL-TG"	"Triglycerides in very large HDL"	"Lipoprotein subclasses"	"Very large HDL"	"mmol/l"
"135"	"L-HDL-P"	"L_HDL_P"	"L-HDL-P"	"Concentration of large HDL particles"	"Lipoprotein subclasses"	"Large HDL"	"mol/l"
"136"	"L-HDL-L"	"L_HDL_L"	"L-HDL-L"	"Total lipids in large HDL"	"Lipoprotein subclasses"	"Large HDL"	"mmol/l"
"137"	"L-HDL-PL"	"L_HDL_PL"	"L-HDL-PL"	"Phospholipids in large HDL"	"Lipoprotein subclasses"	"Large HDL"	"mmol/l"
"138"	"L-HDL-C"	"L_HDL_C"	"L-HDL-C"	"Cholesterol in large HDL"	"Lipoprotein subclasses"	"Large HDL"	"mmol/l"
"139"	"L-HDL-CE"	"L_HDL_CE"	"L-HDL-CE"	"Cholesteryl esters in large HDL"	"Lipoprotein subclasses"	"Large HDL"	"mmol/l"
